""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
PTGER1	0.023605420707892	0.023148058240743	-0.0050725669904115	-0.0208681200249987	-0.0161706747122173	0.0190000328845225	0.0149680311440897	0.0181286715241796
PTGER2	0.0699090080546231	-0.114370884186071	-0.125180034325071	-0.12602920089996	-0.11984912948455	-0.0294430618897497	-0.0852224844580592	0.120828974658234
PTGER3	0.0445748125979792	0.000620990408573347	-0.0358293105060645	-0.0498239226422046	-0.0393731420304661	0.0325607545819933	-0.00928263969728012	0.0373821790396909
PTGER4	0.260737997989527	-0.255972042655318	-0.343812734451729	-0.364312222536045	-0.3674679683902	-0.0753313802983668	-0.224697420910896	0.385883386215109
PTGER4P2-CDK2AP2P2	-0.185393761455047	-0.0553960011217977	0.074542601008805	0.212926097316243	0.200702518063089	0.0522535663304194	-0.0547070119155868	-0.1779831802788
PTGES	0.0336701981539071	-0.0143115882764059	-0.0252379089133192	-0.0138820117167078	-0.0214639290627227	-0.0049487439368553	-0.0173606563114271	0.00658603261729092
PTGES2	-0.0110311574550944	0.0810153562782003	0.0760778312137756	0.0736280532962819	0.0715684195279236	0.018490075317813	0.0188466188045857	-0.0700234568731931
PTGES3	-0.0394396657073695	-0.00147055395173507	0.0358537636722756	0.0932088710477232	0.0771371771020731	0.00766346128565097	-0.0435166145073837	-0.130500140742345
PTGES3L	-0.0502235454438807	-0.0651625067975127	-0.0326280791356137	0.0661942720800727	0.0532829755273218	-0.0137888834971093	-0.0248047466730226	-0.0489267204207863
PTGES3L-AARSD1	0.00569788588756459	0.0140780422767066	0.00114811584653563	0.0281572667961669	0.0226851907210016	-0.00347329505475903	0.00907743424938327	-0.0257882336584499
PTGFR	0.0121104153187394	-0.00364759662110284	-0.012192209450045	-0.00597507201661919	-0.00427634115044387	-0.00108321930820219	-0.0184457290728763	0.00283964577074242
PTGFRN	0.0849730674296055	0.452911147892308	0.2681989712805	0.0443399510586916	0.0467155110881559	-0.060036955999386	0.353219031316014	-0.00457400560956854
PTGIR	-0.000812706336027781	-0.0361620970296937	-0.01858570255097	-0.0197212788554801	-0.0154983123540292	0.0141601387396628	-0.0318061557731353	0.0129570910660959
PTGIS	-0.142343136242356	-0.0947587244500459	-0.00917269752873936	0.183437197897072	0.1562252158235	-0.0146699034926408	-0.0264106643442566	-0.1384280145821
PTGR1	0.107122569144911	0.197704392071108	0.0580866814120578	-0.0597811985048909	-0.0445873962649197	-0.0169847213505003	0.132220482853352	0.0599726726542673
PTGR2	-0.00451327475648208	0.0493916068459389	0.0453587965082299	0.025958635567356	0.0291497549061714	0.0022747146176587	0.0353744591342281	-0.0377651788713717
PTGS1	0.294305177013925	0.00703200105574701	-0.266240296978167	-0.390858453901445	-0.392866541008505	-0.149282803132661	0.0471850504996746	0.371549347572407
PTGS2	0.163912616762763	-0.147063098289148	-0.15625445366015	-0.16877049368515	-0.169285778724173	-0.0651450126740629	-0.160815203740544	0.170542345490451
PTH	-0.00649241627188099	0.00568093120015915	0.0178390264119234	0.00954425273693992	0.0126460002463855	0.020719782490066	-0.0160837168676567	-0.00586604552151959
PTH1R	0.0194421924146211	0.0103068464391418	0.001577758803329	0.00758818992892033	0.00635370444661597	-0.00899455248571019	-0.00804639988721431	-0.0147065169914779
PTH2	0.0130387899351638	-0.00453022668210639	-0.0162706064339939	-0.0102403470510539	-0.00744307734307239	0.0039593180537959	0.00781744062024082	0.0115880713172477
PTH2R	-0.0439623447954279	-0.0110769975232843	0.0489210261251669	0.0426208989764286	0.0519606202718992	0.00156999143773076	-0.0651891122973318	-0.0489122687494133
PTHLH	0.188339428170788	0.139513620374174	-0.0274623607310098	-0.109858799077791	-0.122647385144075	-0.0734529890720956	0.140630821101183	0.117915581677674
PTK2	-0.125450172906943	0.181711891211878	0.279689022639174	0.208638625792227	0.222808677244949	0.100158464903885	0.121317187177821	-0.201380557855086
PTK2B	0.280918939599687	0.0236876795888994	-0.177642067636514	-0.288674470972248	-0.296130750404171	-0.0529828687854026	0.0223122161183892	0.301120324561425
PTK6	-0.100335875071549	-0.0497354780733697	0.016826555757223	0.123073850239751	0.114902559724852	0.00451408669813978	0.00452582962819678	-0.108193782611201
PTK7	-0.00381929699461152	0.183282043079621	0.109635705111477	0.122140677721744	0.112861149678489	-0.00930738509509678	0.127099692703896	-0.082793264713299
PTMA	-0.423282986061716	-0.371773625799578	0.120319795548089	0.377418920866756	0.360176229744651	0.11438325933101	-0.405367876231865	-0.397581657032225
PTMS	-0.11977181820097	0.0811953102767415	0.110717204975264	0.296910120773466	0.269703311111831	0.022349597535776	0.0252632323334183	-0.209891382693544
PTN	-0.065189543231022	0.593887424870044	0.49275930235684	0.220267161285202	0.255947604351424	0.026393265760455	0.386647393310685	-0.201013662543993
PTOV1	-0.136176043487047	0.0989799433005578	0.167943294589533	0.237953579496866	0.241136273136473	0.0711497289851271	0.060062971588518	-0.228632223491225
PTOV1-AS1	-0.0647564832642529	-0.0501854751684109	-0.0134510056080361	0.0771385416963821	0.070161892312235	-0.0156131798374176	-0.0234227502618672	-0.074719827200732
PTP4A1	-0.174701670362711	-0.0903996820058052	0.120156863771385	0.251995112107869	0.248828999122557	0.0678315167522978	-0.135200528334036	-0.231316566427382
PTP4A2	0.107782591354454	0.0564904951135293	0.0120067141848398	-0.0675607888325292	-0.0807241253414679	0.0290322048717605	0.0336561504637235	0.0523608280210378
PTP4A3	-0.0350839384095382	0.164453452897305	0.130099100898385	0.143144682096234	0.119065905936645	-0.00409768189370417	0.0957682004211781	-0.114386412577444
PTPDC1	-0.0435174236946078	0.0158621449119946	0.097593211418145	0.0760500184919018	0.0907771928211182	0.0814210224729477	-0.0232256772619432	-0.0775851109858984
